,Sand Ditch simulation
VolumeW2160,9271.3
VolumeW2880,9270.0
WatBalR0,
WatBalR5,0.055
WatBalR15,0.02
WatBalR30,0.005
WatBalR60,0.007
WatBalR120,0.004
WatBalR180,0.002
WatBalR240,0.001
WatBalR500,0.002
WatBalR720,0.003
WatBalR1440,0.015
WatBalR2160,0.037
WatBalR2880,0.042
WatBalT0,
WatBalT5,0.49201
WatBalT15,0.3328
WatBalT30,0.13294
WatBalT60,-0.32679
WatBalT120,-0.15597
WatBalT180,-0.092926
WatBalT240,-0.043092
WatBalT500,0.10605
WatBalT720,0.13544
WatBalT1440,0.64855
WatBalT2160,1.5816
WatBalT2880,1.8184
hMean0,-1565.5
hMean5,-471.16
hMean15,-393.28
hMean30,-280.2
hMean60,-97.541
hMean120,-28.125
hMean180,-24.489
hMean240,-24.219
hMean500,-25.396
hMean720,-26.199
hMean1440,-27.416
hMean2160,-27.736
hMean2880,-27.845
VarFluxArea,67.5
AtmosArea,1305.75
DrainageArea,22.875
ThetaR_1,0.045
ThetaR_2,0.1
ThetaR_3,0.01
ThetaR_4,0.078
ThetaR_5,0.095
ThetaR_6,0.057
ThetaR_7,0.065
ThetaR_8,0.034
ThetaR_9,0.067
ThetaS_1,0.43
ThetaS_2,0.39
ThetaS_3,0.53
ThetaS_4,0.43
ThetaS_5,0.41
ThetaS_6,0.41
ThetaS_7,0.41
ThetaS_8,0.46
ThetaS_9,0.45
Alfa_1,0.145
Alfa_2,0.059
Alfa_3,0.151
Alfa_4,0.036
Alfa_5,0.019
Alfa_6,0.124
Alfa_7,0.075
Alfa_8,0.016
Alfa_9,0.02
n_1,2.68
n_2,1.48
n_3,2.75
n_4,1.56
n_5,1.31
n_6,2.28
n_7,1.89
n_8,1.37
n_9,1.41
Ks_1,0.495
Ks_2,0.00218
Ks_3,20.0
Ks_4,0.0173
Ks_5,0.00433
Ks_6,0.243
Ks_7,0.0737
Ks_8,0.00417
Ks_9,0.0075
Lambda_1,0.5
Lambda_2,0.5
Lambda_3,0.5
Lambda_4,0.5
Lambda_5,0.5
Lambda_6,0.5
Lambda_7,0.5
Lambda_8,0.5
Lambda_9,0.5
